State ,Type,Total Index Point,Total Price,Y-o-Y %
Johor,All House,2191.225,3419519.352,87.24983534
Kedah,All House,1752.05,2277204.008,69.9748822
Kelantan,All House,1710.352773,1957356.668,74.80833719
Kuala Lumpur,All House,1963,7794899.92,56.83420484
Melaka,All House,1691.327401,1865307.36,68.30811108
Negeri Sembilan,All House,1876.22663,2518639.393,70.84722296
Pahang,All House,1827.080475,2411788.329,53.96795515
Perak,All House,1905.830596,2181689.657,71.24214831
Perlis,All House,1783.775,1947459.053,60.63493169
Pulau Pinang,All House,1945.725,4363343.045,63.52458529
Sabah,All House,1808.76834,4639185.513,55.90872105
Sarawak,All House,1794.525,4576917.39,63.65453305
Selangor,All House,1974.45,4788191.685,67.57027217
Terengganu,All House,1796.723665,2831601.82,47.39631107
